Date,Open,High,Low,Close,Adj Close,Volume
2001-11-20,509.000000,532.000000,508.000000,514.299988,266.251373,85523312
2001-11-21,524.900024,543.000000,521.500000,524.500000,271.531952,81773416
2001-11-22,524.500000,538.000000,521.500000,535.500000,277.226624,49360088
2001-11-23,528.000000,541.500000,509.000000,530.000000,274.379272,65130160
2001-11-26,528.000000,532.500000,508.500000,512.500000,265.319641,51639480
2001-11-27,516.099976,524.500000,507.500000,521.500000,269.978851,50577168
2001-11-28,514.299988,522.000000,507.100006,514.000000,266.096069,36416488
2001-11-29,511.000000,518.900024,505.500000,518.500000,268.425842,34258952
2001-11-30,518.500000,518.500000,507.000000,518.500000,268.425842,30860868
2001-12-03,517.200012,523.000000,508.000000,516.500000,267.390381,57729080
2001-12-04,516.700012,527.500000,512.000000,517.500000,267.908051,81333600
2001-12-05,520.000000,534.500000,512.299988,532.000000,275.414673,103501240
2001-12-06,528.599976,536.000000,517.000000,528.500000,273.602753,64708840
2001-12-07,528.200012,531.500000,511.500000,514.000000,266.096069,48926080
2001-12-10,512.500000,522.000000,505.000000,509.000000,263.507660,46601040
2001-12-11,506.000000,514.500000,505.000000,508.000000,262.989960,47568328
2001-12-12,511.000000,515.000000,502.000000,507.000000,262.472290,57964696
2001-12-13,507.500000,517.500000,505.500000,508.000000,262.989960,39325984
2001-12-14,506.500000,508.000000,499.000000,504.000000,260.919220,45987664
2001-12-17,504.799988,516.500000,500.000000,513.500000,265.837311,39896016
2001-12-18,507.700012,525.500000,505.500000,514.500000,266.355011,51721672
2001-12-19,516.900024,520.000000,505.000000,513.000000,265.578430,30397748
2001-12-20,511.000000,521.200012,507.000000,512.500000,265.319641,29042636
2001-12-21,515.799988,530.000000,507.000000,528.000000,273.343933,33613864
2001-12-24,528.500000,530.900024,513.099976,530.500000,274.638092,3169891
2001-12-25,530.500000,530.500000,530.500000,530.500000,274.638092,0
2001-12-26,530.500000,530.500000,530.500000,530.500000,274.638092,0
2001-12-27,529.000000,536.500000,528.500000,529.500000,274.120422,13781356
2001-12-28,530.000000,539.000000,527.500000,537.000000,278.003235,19761496
2001-12-31,538.500000,538.500000,530.500000,533.000000,275.932373,4271517
2002-01-01,534.000000,534.000000,534.000000,534.000000,276.450012,0
2002-01-02,533.799988,539.000000,528.000000,531.000000,274.896942,29424072
2002-01-03,535.000000,536.000000,526.000000,532.500000,275.673462,34624568
2002-01-04,529.000000,537.099976,527.000000,533.500000,276.191254,42013096
2002-01-07,533.000000,539.500000,523.000000,531.500000,275.155823,27579820
2002-01-08,533.799988,535.500000,521.000000,522.500000,270.496582,59875728
2002-01-09,528.900024,529.000000,515.000000,524.000000,271.273041,36414528
2002-01-10,519.900024,528.000000,516.500000,522.000000,270.237610,59275688
